<eObjectEntry  timestamp='1362929654263' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.9' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930634456' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@javaElements.0/@classes.2' key='junit test launch' value='AllTests'/>
<eObjectEntry  timestamp='1362930636183' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362930636192' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362930636203' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362930636237' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.7' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362930636244' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930636264' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930636271' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930636276' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930636281' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930636286' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930636298' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930636330' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930636355' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.9' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930636362' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.11' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930636368' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362930636373' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.3' key='test run status' value='true'/>
